1	2069	1	2069	2069	2069	99.08	4539749	4536414	0.05	0.05	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
2127	16748	2311	16937	14622	14627	98.85	4539749	4536414	0.32	0.32	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
17362	48828	16938	48317	31467	31380	98.24	4539749	4536414	0.69	0.69	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
48831	75820	48453	75452	26990	27000	97.99	4539749	4536414	0.59	0.60	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
75820	89468	75608	89269	13649	13662	97.98	4539749	4536414	0.30	0.30	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
90321	94116	89492	93314	3796	3823	98.48	4539749	4536414	0.08	0.08	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
94123	98562	93465	97904	4440	4440	97.70	4539749	4536414	0.10	0.10	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
101957	113322	101559	112924	11366	11366	98.74	4539749	4536414	0.25	0.25	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
116703	135663	113139	132095	18961	18957	97.98	4539749	4536414	0.42	0.42	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
136322	148500	132103	144282	12179	12180	98.99	4539749	4536414	0.27	0.27	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
148678	206765	144333	202452	58088	58120	98.77	4539749	4536414	1.28	1.28	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
206767	211600	202598	207431	4834	4834	98.90	4539749	4536414	0.11	0.11	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
211513	220625	207434	216559	9113	9126	98.73	4539749	4536414	0.20	0.20	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
220799	234850	216557	230688	14052	14132	98.31	4539749	4536414	0.31	0.31	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
235024	244101	230686	239748	9078	9063	97.64	4539749	4536414	0.20	0.20	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
247713	249360	242229	243867	1648	1639	88.16	4539749	4536414	0.04	0.04	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
250331	259336	245239	254259	9006	9021	98.85	4539749	4536414	0.20	0.20	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
268695	287609	254344	273253	18915	18910	98.96	4539749	4536414	0.42	0.42	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
287775	294224	273256	279676	6450	6421	98.28	4539749	4536414	0.14	0.14	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
298188	315777	280929	298579	17590	17651	98.45	4539749	4536414	0.39	0.39	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
315804	334544	298729	317439	18741	18711	98.58	4539749	4536414	0.41	0.41	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
334722	361901	317397	344436	27180	27040	97.57	4539749	4536414	0.60	0.60	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
363484	375589	350340	362436	12106	12097	98.21	4539749	4536414	0.27	0.27	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
380118	386068	364803	370738	5951	5936	97.70	4539749	4536414	0.13	0.13	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
391141	393503	370898	373260	2363	2363	99.03	4539749	4536414	0.05	0.05	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
394408	398322	373258	377172	3915	3915	98.72	4539749	4536414	0.09	0.09	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
398469	407850	377172	386570	9382	9399	98.37	4539749	4536414	0.21	0.21	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
411637	414371	390408	393142	2735	2735	97.00	4539749	4536414	0.06	0.06	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
416569	424992	395425	403848	8424	8424	98.66	4539749	4536414	0.19	0.19	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
424995	431929	403977	410921	6935	6945	97.89	4539749	4536414	0.15	0.15	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
431931	447065	411089	426211	15135	15123	98.84	4539749	4536414	0.33	0.33	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
446987	458566	426171	437766	11580	11596	98.71	4539749	4536414	0.26	0.26	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
458712	467747	437928	446968	9036	9041	98.59	4539749	4536414	0.20	0.20	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
467952	471347	447155	450550	3396	3396	96.26	4539749	4536414	0.07	0.07	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
476969	480102	453977	457110	3134	3134	95.25	4539749	4536414	0.07	0.07	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
482259	485488	467326	470579	3230	3254	98.06	4539749	4536414	0.07	0.07	Limnothrix_sp_BL_A_16_CP166615	Limnothrix_sp_HT2024_chromosome
