FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_1634	UniRef100_D8MZH2~K15679	30.6	2491	1222	64	5	2373	51	2159	1.06e-245	818
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_884	UniRef100_Q8YQX0~K00870	45.6	2110	996	24	14	2083	15	2013	0.0	1661
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_883	UniRef100_Q8YQX0~K00870	43.1	2102	1045	23	15	2069	16	2013	0.0	1565
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_885	UniRef100_Q8YQX0~K00870	49.4	2012	906	17	14	1926	15	2013	0.0	1797
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_1805	UniRef100_Q8YQX0~K00870	45.2	2026	863	13	22	1821	10	2013	0.0	1602
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_2977	UniRef100_A0A0X8WQN1~K06596&K02487	41.8	1918	842	49	1	1821	2	1742	0.0	1046
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_124	UniRef100_Q8YQX0~K00870	44.5	2026	863	17	15	1807	16	2013	0.0	1515
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_2960	UniRef100_Q8YQX0~K00870	45.2	2019	857	14	15	1805	16	2013	0.0	1617
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_996	UniRef100_Q8YQX0~K00870	45.7	2027	833	20	15	1801	15	2013	0.0	1598
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_2005	UniRef100_A0A1W5CB30~K10819	42.7	1830	974	17	7	1797	12	1806	0.0	1345
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_256	UniRef100_K9X9F0~K09800	31.6	1830	1008	44	48	1756	36	1742	8.33e-247	775
FinalAssembly_bactGenome_correctedΩLimnothrix_sp_HT2024_chromosome_2825	UniRef100_K9SAT4~K00284	69.6	1568	442	8	11	1571	18	1557	0.0	2168
